Borehole ID,X,Y,Top,Bottom,thickness,Layer Name
12116,525718.812,3384957.594,6.6,11.2,4.6,Silt
12118,525615.461,3384922.785,8.5,10.5,2.0,Silt
12119,525568.02,3384906.315,6.4,10.0,3.5999999999999996,Silt
19167,523810.679,3384664.062,6.8,12.3,5.500000000000001,Silt
19171,523797.619,3384635.091,6.9,11.8,4.9,Silt
19643,526147.812,3384083.692,5.7,10.7,4.999999999999999,Silt
19769,528640.259,3387513.777,10.6,12.0,1.4000000000000004,Silt
20100,525673.487,3385964.946,9.4,10.7,1.299999999999999,Silt
23689,525441.188,3386540.174,9.0,13.0,4.0,Silt
24003,528785.761,3385848.667,7.0,14.0,7.0,Silt
24219,527273.932,3385353.72,8.9,12.6,3.6999999999999993,Silt
24341,526908.996,3385012.898,8.4,10.6,2.1999999999999993,Silt
24342,526940.086,3384978.608,10.2,11.5,1.3000000000000007,Silt
24490,525931.61,3384036.123,5.4,12.8,7.4,Silt
24998,525980.235,3384974.373,8.5,11.1,2.5999999999999996,Silt
24999,526018.336,3384986.243,8.4,10.4,2.0,Silt
25031,525985.125,3384847.282,5.5,10.4,4.9,Silt
25041,525997.365,3384979.993,8.0,10.5,2.5,Silt
29568,527800.458,3385471.169,9.8,12.45,2.6499999999999986,Silt
33528,525419.301,3383578.631,6.8,11.6,4.8,Silt
35960,525444.017,3386361.032,8.9,14.7,5.799999999999999,Silt
36519,526289.276,3382750.067,10.0,15.0,5.0,Silt
38366,526463.25,3383029.189,6.7,11.0,4.3,Silt
39801,527295.891,3387024.799,9.0,10.8,1.8000000000000007,Silt
63459,526173.865,3382764.207,8.0,11.7,3.6999999999999993,Silt
63460,526175.345,3382784.198,7.0,13.0,6.0,Silt
71376,551168.317,3392350.386,6.4,13.4,7.0,Silt
71450,528926.765,3387949.14,8.7,13.3,4.600000000000001,Silt
71457,528950.805,3387939.15,8.3,12.96,4.66,Silt
73690,526150.815,3382781.838,6.0,10.0,4.0,Silt
78295,525445.219,3386745.976,10.5,14.3,3.8000000000000007,Silt
78298,525436.469,3386728.776,9.4,14.5,5.1,Silt
78300,525435.309,3386706.626,9.2,13.6,4.4,Silt
84901,525458.519,3384819.674,7.0,11.5,4.5,Silt
84905,525412.598,3384760.994,6.8,11.2,4.3999999999999995,Silt
88051,527551.187,3389431.194,9.6,12.4,2.8000000000000007,Silt
91629,526606.253,3385021.37,7.9,10.3,2.4000000000000004,Silt
92689,523722.63,3386810.516,7.3,13.3,6.000000000000001,Silt
107930,522761.951,3392531.165,5.8,10.0,4.2,Silt
108961,528099.316,3379068.246,7.2,14.0,6.8,Silt
109024,526224.256,3384687.179,8.5,12.3,3.8000000000000007,Silt
118351,533061.428,3385557.541,6.5,12.0,5.5,Silt
135920,515599.478,3388324.888,7.6,12.9,5.300000000000001,Silt
135921,515494.377,3388300.678,8.7,11.7,3.0,Silt
136665,537030.57,3390605.555,9.5,11.2,1.6999999999999993,Silt
138106,526293.587,3384572.987,7.3,10.7,3.3999999999999995,Silt
138744,524863.71,3388018.563,5.8,11.7,5.8999999999999995,Silt
138745,524827.819,3387951.743,7.8,11.8,4.000000000000001,Silt
148418,523599.171,3387293.032,10.5,13.2,2.6999999999999993,Silt
149025,523859.709,3384422.839,7.4,11.9,4.5,Silt
149033,523867.978,3384380.478,6.2,10.0,3.8,Silt
149036,523846.098,3384355.838,6.8,14.5,7.7,Silt
149039,523907.459,3384360.478,5.3,13.5,8.2,Silt
162303,524863.829,3389726.262,5.7,11.7,5.999999999999999,Silt
167182,526397.066,3384168.542,8.6,10.6,2.0,Silt
167189,526389.135,3384189.462,9.0,12.4,3.4000000000000004,Silt
167191,526378.106,3384210.762,8.0,12.6,4.6,Silt
170507,527645.125,3388730.576,6.2,12.4,6.2,Silt
172108,536400.767,3391320.786,8.3,10.3,2.0,Silt
178270,523024.731,3391956.547,9.5,15.0,5.5,Silt
186566,523671.017,3384501.481,8.2,11.8,3.6000000000000014,Silt
186732,527219.997,3386411.332,10.0,14.0,4.0,Silt
186767,526618.142,3384923.099,9.2,10.0,0.8000000000000007,Silt
186824,525894.083,3382956.561,5.9,12.0,6.1,Silt
186847,525833.082,3382875.871,5.6,13.0,7.4,Silt
186937,527795.079,3380100.449,7.2,10.5,3.3,Silt
186938,527757.728,3380105.959,5.8,11.8,6.000000000000001,Silt
193874,532194.601,3386176.592,8.0,12.5,4.5,Silt
193878,532161.611,3386186.233,9.8,11.8,2.0,Silt
193882,532224.261,3386124.311,8.5,11.2,2.6999999999999993,Silt
193898,532183.711,3386123.982,10.0,12.4,2.4000000000000004,Silt
196933,524881.342,3383058.728,6.2,10.3,4.1000000000000005,Silt
196947,524889.442,3382996.137,6.0,12.5,6.5,Silt
196956,524958.893,3382965.786,5.5,10.7,5.199999999999999,Silt
197937,523939.768,3384137.355,6.2,11.8,5.6000000000000005,Silt
197961,523967.468,3384082.404,6.1,12.3,6.200000000000001,Silt
197964,523851.196,3384046.205,5.7,13.1,7.3999999999999995,Silt
197966,523895.687,3384039.854,5.6,13.0,7.4,Silt
197991,523866.946,3383981.784,5.7,12.7,6.999999999999999,Silt
199092,519857.316,3386573.225,8.2,11.8,3.6000000000000014,Silt
200652,523359.328,3379957.232,11.0,15.0,4.0,Silt
203712,526176.344,3391625.786,7.7,10.7,2.999999999999999,Silt
209900,527699.112,3389934.859,8.2,10.8,2.6000000000000014,Silt
210974,532605.855,3387790.278,5.5,11.4,5.9,Silt
212951,526735.267,3374720.584,7.7,10.0,2.3,Silt
212952,526756.767,3374723.714,8.7,10.3,1.6000000000000014,Silt
214736,522043.092,3386907.047,10.5,13.0,2.5,Silt
214757,521936.481,3386915.437,8.5,11.3,2.8000000000000007,Silt
214763,521954.941,3386894.857,7.4,10.3,2.9000000000000004,Silt
214775,522255.954,3386825.424,9.1,14.0,4.9,Silt
214840,522215.983,3386759.864,9.2,12.8,3.6000000000000014,Silt
216263,529238.015,3392858.993,9.7,10.8,1.1000000000000014,Silt
216704,529157.026,3393215.858,8.6,11.4,2.8000000000000007,Silt
216714,529112.815,3393143.827,8.1,11.7,3.5999999999999996,Silt
223988,535549.037,3387601.32,8.1,11.0,2.9000000000000004,Silt
224060,535478.296,3387611.27,10.2,12.3,2.1000000000000014,Silt
224754,522650.375,3377119.244,8.0,11.0,3.0,Silt
224850,534647.977,3387684.295,5.0,12.9,7.9,Silt
226311,540910.073,3374275.291,7.7,10.0,2.3,Silt
232117,525295.514,3387912.78,7.0,10.9,3.9000000000000004,Silt
232297,514911.397,3385924.625,7.4,11.0,3.5999999999999996,Silt
232307,514839.176,3385924.135,7.8,10.3,2.500000000000001,Silt
232310,514840.566,3385902.715,7.9,10.0,2.0999999999999996,Silt
234351,525114.593,3386242.272,8.4,11.8,3.4000000000000004,Silt
237883,525975.719,3374880.851,8.3,10.9,2.5999999999999996,Silt
239223,529278.334,3394448.961,8.4,10.3,1.9000000000000004,Silt
