Borehole ID,X,Y,Top,Bottom,thickness,Layer Name
15784,532527.41,3387152.741,56.17,58.86,2.6899999999999977,Sandstone_Conglomerate_2
15916,529361.741,3388211.631,49.5,54.6,5.100000000000001,Sandstone_Conglomerate_2
21142,526877.602,3384378.122,54.45,54.95,0.5,Sandstone_Conglomerate_2
21144,526981.783,3384348.481,54.5,58.2,3.700000000000003,Sandstone_Conglomerate_2
24003,528785.761,3385848.667,56.1,58.1,2.0,Sandstone_Conglomerate_2
24219,527273.932,3385353.72,51.2,57.7,6.5,Sandstone_Conglomerate_2
26530,528058.294,3385907.762,49.5,53.3,3.799999999999997,Sandstone_Conglomerate_2
27138,528748.774,3386325.773,51.9,53.2,1.3000000000000043,Sandstone_Conglomerate_2
28485,525938.837,3383547.497,48.7,52.0,3.299999999999997,Sandstone_Conglomerate_2
30959,527402.8,3388407.654,41.8,51.0,9.200000000000003,Sandstone_Conglomerate_2
31188,527775.051,3385990.555,49.2,52.0,2.799999999999997,Sandstone_Conglomerate_2
31335,525641.268,3386065.327,45.9,55.7,9.800000000000004,Sandstone_Conglomerate_2
33265,527624.296,3385423.049,53.0,55.0,2.0,Sandstone_Conglomerate_2
33528,525419.301,3383578.631,49.5,50.2,0.7000000000000028,Sandstone_Conglomerate_2
34769,524190.787,3390635.376,52.8,54.5,1.7000000000000028,Sandstone_Conglomerate_2
35664,526923.778,3388965.703,52.2,52.9,0.6999999999999957,Sandstone_Conglomerate_2
35966,525521.398,3386398.062,49.9,51.1,1.2000000000000028,Sandstone_Conglomerate_2
37761,527212.071,3387051.67,50.3,53.5,3.200000000000003,Sandstone_Conglomerate_2
40222,525326.711,3387240.382,45.0,50.0,5.0,Sandstone_Conglomerate_2
47592,529496.069,3387579.233,48.2,53.9,5.699999999999996,Sandstone_Conglomerate_2
47596,529437.788,3387549.253,47.8,52.3,4.5,Sandstone_Conglomerate_2
47626,529456.549,3387597.433,47.2,53.0,5.799999999999997,Sandstone_Conglomerate_2
52123,553465.211,3390220.85,52.0,54.5,2.5,Sandstone_Conglomerate_2
56007,525959.32,3385791.092,49.5,53.95,4.450000000000003,Sandstone_Conglomerate_2
56047,526017.09,3385670.531,54.0,57.6,3.6000000000000014,Sandstone_Conglomerate_2
56054,525959.83,3385798.942,48.0,53.0,5.0,Sandstone_Conglomerate_2
62715,528584.687,3387269.574,48.5,52.1,3.6000000000000014,Sandstone_Conglomerate_2
62716,528599.007,3387295.245,48.3,50.0,1.7000000000000028,Sandstone_Conglomerate_2
65825,538087.023,3390845.422,53.3,55.0,1.7000000000000028,Sandstone_Conglomerate_2
71340,550248.244,3391827.696,45.5,54.5,9.0,Sandstone_Conglomerate_2
71341,550541.61,3392280.349,49.5,57.0,7.5,Sandstone_Conglomerate_2
71342,550974.915,3392609.551,48.8,58.2,9.400000000000006,Sandstone_Conglomerate_2
71345,550810.361,3391920.753,44.6,56.0,11.399999999999999,Sandstone_Conglomerate_2
71346,551268.317,3392350.386,52.2,57.2,5.0,Sandstone_Conglomerate_2
71349,551138.462,3391493.777,44.4,54.0,9.600000000000001,Sandstone_Conglomerate_2
71352,551017.128,3390912.851,47.3,53.3,6.0,Sandstone_Conglomerate_2
71353,551289.572,3391234.463,55.5,58.0,2.5,Sandstone_Conglomerate_2
71375,550874.915,3392609.551,48.8,58.2,9.400000000000006,Sandstone_Conglomerate_2
71376,551168.317,3392350.386,52.2,57.2,5.0,Sandstone_Conglomerate_2
71457,528950.805,3387939.15,47.5,50.3,2.799999999999997,Sandstone_Conglomerate_2
