Borehole ID,X,Y,Top,Bottom,thickness,Layer Name
51032,536891.127,3375847.661,15.6,22.6,7.000000000000002,Residual_Soil
75066,530101.418,3378907.333,29.5,34.2,4.700000000000003,Residual_Soil
97980,519438.097,3376862.899,37.2,39.5,2.299999999999997,Residual_Soil
98002,519906.461,3376540.763,41.2,43.5,2.299999999999997,Residual_Soil
106170,532488.729,3374230.917,16.8,23.0,6.199999999999999,Residual_Soil
108728,535288.913,3385708.72,30.3,35.3,4.9999999999999964,Residual_Soil
111274,534495.536,3384242.748,48.0,49.3,1.2999999999999972,Residual_Soil
115243,514780.692,3376233.138,29.4,38.4,9.0,Residual_Soil
116514,528559.739,3387580.598,44.3,44.8,0.5,Residual_Soil
143199,531363.214,3399222.243,19.6,29.6,10.0,Residual_Soil
143200,531350.634,3399209.932,19.5,33.8,14.299999999999997,Residual_Soil
143201,531351.014,3399192.332,19.9,30.3,10.400000000000002,Residual_Soil
143202,531365.854,3399203.722,19.4,31.5,12.100000000000001,Residual_Soil
143203,531378.684,3399213.792,19.5,31.9,12.399999999999999,Residual_Soil
143205,531368.014,3399187.592,18.6,28.8,10.2,Residual_Soil
143206,531383.014,3399196.712,19.2,29.6,10.400000000000002,Residual_Soil
143207,531369.914,3399173.342,21.6,27.8,6.199999999999999,Residual_Soil
143477,532030.543,3399436.321,20.3,21.6,1.3000000000000007,Residual_Soil
143478,532045.033,3399441.241,19.5,20.7,1.1999999999999993,Residual_Soil
143479,532021.553,3399415.211,19.3,20.1,0.8000000000000007,Residual_Soil
143480,532036.043,3399420.131,19.3,20.0,0.6999999999999993,Residual_Soil
143491,532083.213,3399328.87,20.5,21.6,1.1000000000000014,Residual_Soil
143931,521142.149,3375599.395,49.6,51.4,1.7999999999999972,Residual_Soil
143932,521207.78,3375551.804,48.3,50.7,2.4000000000000057,Residual_Soil
157215,528668.107,3379890.462,48.0,50.0,2.0,Residual_Soil
177093,519602.548,3405614.409,15.5,22.1,6.600000000000001,Residual_Soil
177094,519623.379,3405637.999,18.2,20.2,2.0,Residual_Soil
177095,519642.789,3405660.129,17.2,23.5,6.300000000000001,Residual_Soil
177096,519662.749,3405683.279,19.5,26.4,6.899999999999999,Residual_Soil
177097,519683.53,3405706.669,17.8,24.0,6.199999999999999,Residual_Soil
177098,519712.41,3405739.41,16.0,26.0,10.0,Residual_Soil
177099,519732.16,3405761.79,17.0,26.0,9.0,Residual_Soil
177100,519752.741,3405785.18,20.5,27.0,6.5,Residual_Soil
177101,519772.711,3405807.5,17.0,23.5,6.5,Residual_Soil
177102,519792.741,3405830.15,18.5,22.8,4.300000000000001,Residual_Soil
177104,519637.079,3405624.029,16.8,20.6,3.8000000000000007,Residual_Soil
177105,519657.699,3405647.799,18.7,25.4,6.699999999999999,Residual_Soil
177106,519678.069,3405670.619,18.3,23.3,5.0,Residual_Soil
177107,519698.08,3405693.219,18.1,28.5,10.399999999999999,Residual_Soil
177108,519726.95,3405726.129,18.0,26.5,8.5,Residual_Soil
177109,519746.65,3405748.49,19.0,28.0,9.0,Residual_Soil
177110,519767.391,3405771.68,18.5,29.0,10.5,Residual_Soil
177111,519787.961,3405794.87,22.0,28.0,6.0,Residual_Soil
177112,519807.782,3405817.6,17.5,23.0,5.5,Residual_Soil
205651,528934.893,3376824.246,26.5,31.0,4.5,Residual_Soil
205663,528915.043,3376778.525,25.5,31.0,5.5,Residual_Soil
205665,528945.743,3376776.895,27.0,31.5,4.5,Residual_Soil
205682,528974.823,3376676.654,28.5,30.1,1.6000000000000014,Residual_Soil
205693,528908.672,3376621.524,26.9,30.3,3.400000000000002,Residual_Soil
206689,520789.562,3378617.541,38.8,40.57,1.7700000000000031,Residual_Soil
206718,520796.432,3378602.191,41.0,48.31,7.310000000000002,Residual_Soil
206723,520803.202,3378600.461,40.0,44.5,4.5,Residual_Soil
206738,520817.202,3378603.171,38.6,44.6,6.0,Residual_Soil
206794,520717.712,3378651.852,36.0,41.0,5.0,Residual_Soil
206818,520732.272,3378649.282,34.5,36.1,1.6000000000000014,Residual_Soil
206838,520739.512,3378647.411,36.0,42.0,6.0,Residual_Soil
212809,516114.11,3376783.716,27.5,30.8,3.3000000000000007,Residual_Soil
212811,516079.049,3376734.996,25.8,31.1,5.300000000000001,Residual_Soil
212914,516148.371,3376861.537,23.2,28.3,5.100000000000001,Residual_Soil
213447,520350.708,3378714.194,21.8,23.0,1.1999999999999993,Residual_Soil
218193,545813.277,3381348.193,16.0,20.5,4.5,Residual_Soil
218363,552072.195,3364812.284,20.0,34.2,14.200000000000003,Residual_Soil
218379,540352.191,3358847.352,28.0,33.6,5.600000000000001,Residual_Soil
218393,538141.874,3354817.469,40.8,47.7,6.900000000000006,Residual_Soil
218748,513469.201,3373275.332,32.5,34.0,1.5,Residual_Soil
220277,528762.921,3376831.697,27.2,34.8,7.599999999999998,Residual_Soil
220278,528789.952,3376822.627,30.7,36.4,5.699999999999999,Residual_Soil
220281,528867.592,3376774.266,26.0,34.0,8.0,Residual_Soil
220285,528759.841,3376774.786,28.4,35.3,6.899999999999999,Residual_Soil
220286,528778.501,3376777.606,32.0,34.8,2.799999999999997,Residual_Soil
220348,528965.662,3376509.792,27.4,41.7,14.300000000000004,Residual_Soil
220881,513282.748,3373097.431,33.5,36.0,2.5,Residual_Soil
220967,512324.324,3372565.84,35.0,37.0,2.0,Residual_Soil
220983,512143.182,3372467.21,35.0,38.0,3.0,Residual_Soil
221059,511313.17,3372017.25,33.0,34.7,1.7000000000000028,Residual_Soil
221064,511224.259,3371960.939,34.7,37.0,2.299999999999997,Residual_Soil
221065,511190.048,3371950.61,34.0,35.6,1.6000000000000014,Residual_Soil
221249,557786.575,3378543.056,20.0,21.4,1.3999999999999986,Residual_Soil
221252,557814.045,3378515.125,19.5,20.0,0.5,Residual_Soil
221253,557794.095,3378481.635,18.0,20.8,2.8000000000000007,Residual_Soil
221254,557818.355,3378485.735,20.4,21.8,1.4000000000000021,Residual_Soil
221255,557799.854,3378451.835,19.4,20.9,1.5,Residual_Soil
221259,557813.954,3378392.224,18.0,21.0,3.0,Residual_Soil
221261,557822.744,3378363.293,21.0,22.6,1.6000000000000014,Residual_Soil
221264,557857.024,3378342.423,20.3,21.0,0.6999999999999993,Residual_Soil
221268,557951.164,3378096.6,19.0,20.4,1.3999999999999986,Residual_Soil
221270,557963.204,3378068.439,19.2,20.4,1.1999999999999993,Residual_Soil
221271,557949.074,3378030.729,20.0,20.7,0.6999999999999993,Residual_Soil
221273,557957.044,3378009.709,20.5,21.4,0.8999999999999986,Residual_Soil
221275,557972.844,3377974.878,20.3,20.8,0.5,Residual_Soil
223430,513123.348,3395104.087,43.2,47.3,4.099999999999994,Residual_Soil
223431,513220.139,3395053.246,44.7,46.7,2.0,Residual_Soil
223432,513079.927,3395027.777,43.8,53.0,9.200000000000003,Residual_Soil
223433,513136.378,3395036.306,42.8,45.6,2.8000000000000043,Residual_Soil
224690,522705.626,3377327.766,44.0,48.8,4.799999999999997,Residual_Soil
224695,522665.086,3377301.056,45.4,48.4,3.0,Residual_Soil
224973,513186.558,3395108.987,43.2,45.3,2.0999999999999943,Residual_Soil
225490,513097.798,3395272.349,42.4,44.4,2.0,Residual_Soil
225495,513149.539,3395278.519,42.3,44.1,1.8000000000000043,Residual_Soil
225496,513170.639,3395279.119,43.8,45.2,1.4000000000000057,Residual_Soil
225497,513189.699,3395279.119,43.1,45.0,1.8999999999999986,Residual_Soil
225498,513211.0,3395279.749,43.9,45.9,2.0,Residual_Soil
225499,513158.439,3395263.919,39.8,41.5,1.7000000000000028,Residual_Soil
225500,513172.239,3395263.919,42.7,44.6,1.8999999999999986,Residual_Soil
225501,513188.569,3395263.919,43.4,45.3,1.8999999999999986,Residual_Soil
225502,513202.369,3395263.919,42.5,44.5,2.0,Residual_Soil
225506,513153.879,3395217.948,45.0,46.5,1.5,Residual_Soil
225512,513211.779,3395223.308,44.0,46.2,2.200000000000003,Residual_Soil
225526,513184.379,3395236.958,43.4,45.1,1.7000000000000028,Residual_Soil
227769,535728.997,3376416.344,15.0,22.3,7.300000000000001,Residual_Soil
228420,529624.898,3378141.287,19.5,21.2,1.6999999999999993,Residual_Soil
229789,550671.65,3370359.684,30.3,42.4,12.099999999999998,Residual_Soil
229900,526732.761,3404322.705,17.0,26.0,9.0,Residual_Soil
229948,505456.915,3404624.646,29.4,41.9,12.5,Residual_Soil
229959,506485.826,3402862.091,48.2,51.5,3.299999999999997,Residual_Soil
229976,514127.167,3400184.528,47.0,52.8,5.799999999999997,Residual_Soil
229977,515579.999,3399396.282,45.6,46.6,1.0,Residual_Soil
233324,520452.089,3378705.974,22.0,25.1,3.1000000000000014,Residual_Soil
233333,520406.048,3378664.194,22.6,25.0,2.3999999999999986,Residual_Soil
233339,520428.339,3378720.294,23.0,26.0,3.0,Residual_Soil
233858,511520.923,3372153.03,36.5,38.0,1.5,Residual_Soil
233926,511308.21,3372031.49,34.5,36.7,2.200000000000003,Residual_Soil
234501,530144.155,3365706.905,17.0,23.2,6.199999999999999,Residual_Soil
236700,540278.369,3391077.832,17.5,31.7,14.2,Residual_Soil
237073,529152.162,3376099.627,26.8,31.4,4.599999999999998,Residual_Soil
237075,529158.972,3376100.697,28.7,33.0,4.300000000000001,Residual_Soil
237077,529163.942,3376097.736,23.3,32.0,8.7,Residual_Soil
237083,529182.402,3376097.706,28.3,34.2,5.900000000000002,Residual_Soil
237122,529168.682,3376094.906,29.5,34.5,5.0,Residual_Soil
237168,529150.612,3376085.496,28.0,34.0,6.0,Residual_Soil
237170,529153.962,3376086.126,28.9,31.2,2.3000000000000007,Residual_Soil
237172,529174.922,3376086.836,26.4,29.0,2.6000000000000014,Residual_Soil
237178,529143.121,3376083.796,28.0,31.0,3.0,Residual_Soil
237416,529242.522,3376078.456,23.9,37.4,13.5,Residual_Soil
237447,529250.703,3376070.086,29.0,35.0,6.0,Residual_Soil
237459,529264.663,3376068.846,28.6,35.0,6.399999999999999,Residual_Soil
237466,529248.793,3376064.836,29.0,38.0,9.0,Residual_Soil
238981,519776.103,3378962.57,24.7,26.9,2.1999999999999993,Residual_Soil
239367,522187.056,3398142.701,28.8,32.6,3.8000000000000007,Residual_Soil
240781,538349.766,3374660.79,16.0,20.0,4.0,Residual_Soil
