Borehole ID,X,Y,Top,Bottom,thickness,Layer Name
87693,531459.208,3379893.236,11.0,13.9,2.9000000000000004,Old_Clay
98002,519906.461,3376540.763,13.5,24.2,10.7,Old_Clay
107466,511311.501,3390395.765,10.0,17.0,7.0,Old_Clay
107501,511102.561,3390794.28,14.2,17.0,2.8000000000000007,Old_Clay
107928,522732.181,3392617.286,12.5,19.5,7.0,Old_Clay
107930,522761.951,3392531.165,18.5,20.0,1.5,Old_Clay
107940,522719.831,3392612.057,12.0,18.9,6.899999999999999,Old_Clay
107943,522760.441,3392493.815,19.0,23.0,4.0,Old_Clay
108005,522723.065,3391526.284,12.0,23.0,11.0,Old_Clay
108317,522836.659,3391950.948,15.0,23.5,8.5,Old_Clay
108320,522795.698,3391898.008,15.0,23.5,8.5,Old_Clay
140014,520459.343,3393838.133,15.5,24.5,9.0,Old_Clay
143198,531337.314,3399215.363,13.2,17.1,3.900000000000002,Old_Clay
143199,531363.214,3399222.243,13.2,17.3,4.100000000000001,Old_Clay
143200,531350.634,3399209.932,14.6,16.8,2.200000000000001,Old_Clay
143201,531351.014,3399192.332,13.1,17.2,4.1,Old_Clay
143206,531383.014,3399196.712,15.8,19.2,3.3999999999999986,Old_Clay
143207,531369.914,3399173.342,14.5,18.6,4.100000000000001,Old_Clay
143477,532030.543,3399436.321,15.7,18.4,2.6999999999999993,Old_Clay
147719,523977.562,3393809.203,14.8,17.8,3.0,Old_Clay
147759,523738.559,3393701.803,19.4,21.0,1.6000000000000014,Old_Clay
147764,523835.479,3393596.621,12.0,18.6,6.600000000000001,Old_Clay
147765,523823.119,3393541.521,11.0,17.9,6.899999999999999,Old_Clay
156140,523295.467,3379864.741,11.5,17.5,6.0,Old_Clay
157159,528717.858,3379885.171,12.1,14.5,2.4000000000000004,Old_Clay
157174,528840.819,3379821.87,12.4,15.5,3.0999999999999996,Old_Clay
171130,517614.441,3372122.796,10.4,14.6,4.199999999999999,Old_Clay
171131,517613.741,3372092.796,10.9,14.4,3.5,Old_Clay
171142,517600.391,3372153.126,11.4,14.4,3.0,Old_Clay
171143,517599.691,3372123.136,11.4,14.4,3.0,Old_Clay
178254,523062.851,3391977.178,16.2,21.5,5.300000000000001,Old_Clay
178256,523047.601,3391975.008,16.4,22.8,6.400000000000002,Old_Clay
178269,523002.561,3391961.028,15.8,24.0,8.2,Old_Clay
178270,523024.731,3391956.547,15.0,23.2,8.2,Old_Clay
187112,517871.456,3392470.582,11.5,18.5,7.0,Old_Clay
200652,523359.328,3379957.232,15.0,16.9,1.8999999999999986,Old_Clay
200653,523354.348,3379951.152,14.7,16.9,2.1999999999999993,Old_Clay
203083,524306.288,3390612.855,14.4,21.5,7.1,Old_Clay
203712,526176.344,3391625.786,10.7,12.5,1.8000000000000007,Old_Clay
206100,520012.905,3375295.088,14.1,19.2,5.1,Old_Clay
206101,520183.486,3375173.256,19.2,21.7,2.5,Old_Clay
206236,525057.54,3380488.268,12.0,23.4,11.399999999999999,Old_Clay
206689,520789.562,3378617.541,11.8,25.0,13.2,Old_Clay
206718,520796.432,3378602.191,14.1,26.0,11.9,Old_Clay
206738,520817.202,3378603.171,18.0,25.0,7.0,Old_Clay
206747,520821.382,3378595.13,11.4,24.2,12.799999999999999,Old_Clay
209728,529623.207,3377866.434,16.9,21.4,4.5,Old_Clay
209733,529592.149,3376613.0,11.0,15.2,4.199999999999999,Old_Clay
211213,520932.14,3377865.712,15.2,21.9,6.699999999999999,Old_Clay
211220,520945.18,3377826.011,20.0,22.5,2.5,Old_Clay
211228,520887.679,3377889.952,16.4,20.6,4.200000000000003,Old_Clay
211244,520966.589,3377770.14,18.7,21.2,2.5,Old_Clay
211253,520981.49,3377759.71,20.0,22.0,2.0,Old_Clay
211270,520900.539,3377876.232,16.3,23.5,7.199999999999999,Old_Clay
218265,521736.196,3368437.312,13.35,18.0,4.65,Old_Clay
218748,513469.201,3373275.332,13.4,25.8,12.4,Old_Clay
218830,514051.381,3373945.766,11.6,13.2,1.5999999999999996,Old_Clay
219960,509881.671,3366110.482,10.0,11.7,1.6999999999999993,Old_Clay
