Borehole ID,X,Y,Top,Bottom,thickness,Layer Name
22022,527833.393,3386228.067,52.2,53.9,1.6999999999999957,Sandstone_Conglomerate_1
28450,527448.061,3386599.203,49.4,51.5,2.1000000000000014,Sandstone_Conglomerate_1
29341,527650.316,3387100.028,52.0,52.7,0.7000000000000028,Sandstone_Conglomerate_1
29344,527661.506,3387130.208,43.4,49.2,5.800000000000004,Sandstone_Conglomerate_1
35664,526923.778,3388965.703,42.0,52.2,10.200000000000003,Sandstone_Conglomerate_1
37761,527212.071,3387051.67,44.7,50.3,5.599999999999994,Sandstone_Conglomerate_1
38773,524327.366,3388484.362,46.7,51.0,4.299999999999997,Sandstone_Conglomerate_1
51835,526006.233,3388166.259,42.0,43.8,1.7999999999999972,Sandstone_Conglomerate_1
52123,553465.211,3390220.85,50.4,52.0,1.6000000000000014,Sandstone_Conglomerate_1
70910,524942.172,3388302.686,43.5,50.1,6.600000000000001,Sandstone_Conglomerate_1
70912,524988.693,3388300.226,44.4,51.5,7.100000000000001,Sandstone_Conglomerate_1
70913,524932.312,3388278.796,44.0,51.6,7.600000000000001,Sandstone_Conglomerate_1
70927,524931.312,3388249.386,43.9,52.0,8.100000000000001,Sandstone_Conglomerate_1
70934,524953.282,3388188.785,42.0,50.0,8.0,Sandstone_Conglomerate_1
70943,525022.592,3388193.674,43.0,50.5,7.5,Sandstone_Conglomerate_1
70951,524956.541,3388157.724,42.9,50.1,7.200000000000003,Sandstone_Conglomerate_1
70953,524996.272,3388160.114,43.8,51.4,7.600000000000001,Sandstone_Conglomerate_1
71341,550541.61,3392280.349,48.6,49.5,0.8999999999999986,Sandstone_Conglomerate_1
71342,550974.915,3392609.551,44.4,48.8,4.399999999999999,Sandstone_Conglomerate_1
71345,550810.361,3391920.753,43.7,44.6,0.8999999999999986,Sandstone_Conglomerate_1
71346,551268.317,3392350.386,50.5,52.2,1.7000000000000028,Sandstone_Conglomerate_1
71349,551138.462,3391493.777,42.8,44.4,1.6000000000000014,Sandstone_Conglomerate_1
71350,551491.487,3391891.97,46.1,51.6,5.5,Sandstone_Conglomerate_1
71354,551684.057,3391498.154,48.9,54.0,5.100000000000001,Sandstone_Conglomerate_1
71362,552119.507,3390580.502,51.6,53.4,1.7999999999999972,Sandstone_Conglomerate_1
71375,550874.915,3392609.551,42.6,48.8,6.199999999999996,Sandstone_Conglomerate_1
71376,551168.317,3392350.386,50.5,52.2,1.7000000000000028,Sandstone_Conglomerate_1
71377,551391.487,3391891.97,46.1,51.6,5.5,Sandstone_Conglomerate_1
71378,551584.057,3391498.154,48.9,54.0,5.100000000000001,Sandstone_Conglomerate_1
71380,552019.507,3390580.502,51.6,53.4,1.7999999999999972,Sandstone_Conglomerate_1
73322,503804.219,3390686.549,50.8,54.0,3.200000000000003,Sandstone_Conglomerate_1
76947,528926.13,3387091.11,48.0,50.51,2.509999999999998,Sandstone_Conglomerate_1
80213,529758.403,3389630.524,44.6,50.1,5.5,Sandstone_Conglomerate_1
80221,529635.952,3389594.375,47.9,49.1,1.2000000000000028,Sandstone_Conglomerate_1
85814,528361.031,3386668.569,49.5,52.0,2.5,Sandstone_Conglomerate_1
85830,528429.442,3386631.888,49.4,51.5,2.1000000000000014,Sandstone_Conglomerate_1
86836,527575.452,3386507.411,48.0,50.0,2.0,Sandstone_Conglomerate_1
89654,526573.207,3387707.19,44.3,50.7,6.400000000000006,Sandstone_Conglomerate_1
94265,527564.674,3392365.817,42.0,47.5,5.5,Sandstone_Conglomerate_1
108005,522723.065,3391526.284,46.7,49.0,2.299999999999997,Sandstone_Conglomerate_1
108313,522851.499,3392024.379,46.5,47.8,1.2999999999999972,Sandstone_Conglomerate_1
108317,522836.659,3391950.948,46.5,47.7,1.2000000000000028,Sandstone_Conglomerate_1
108320,522795.698,3391898.008,45.0,46.5,1.5,Sandstone_Conglomerate_1
108323,522812.888,3391833.327,45.5,46.5,1.0,Sandstone_Conglomerate_1
111276,534225.234,3384325.14,36.0,43.7,7.700000000000003,Sandstone_Conglomerate_1
111324,534309.425,3384306.86,48.3,52.1,3.8000000000000043,Sandstone_Conglomerate_1
140007,520298.811,3393849.754,40.5,44.0,3.5,Sandstone_Conglomerate_1
140014,520459.343,3393838.133,42.0,46.6,4.600000000000001,Sandstone_Conglomerate_1
143198,531337.314,3399215.363,34.5,44.0,9.5,Sandstone_Conglomerate_1
143200,531350.634,3399209.932,33.8,40.0,6.200000000000003,Sandstone_Conglomerate_1
143203,531378.684,3399213.792,31.9,40.0,8.100000000000001,Sandstone_Conglomerate_1
144718,525949.388,3389142.11,42.0,44.0,2.0,Sandstone_Conglomerate_1
145682,525096.993,3388168.144,44.8,45.5,0.7000000000000028,Sandstone_Conglomerate_1
145685,525101.593,3388228.684,46.2,47.0,0.7999999999999972,Sandstone_Conglomerate_1
145719,525272.075,3388214.803,45.1,46.3,1.1999999999999957,Sandstone_Conglomerate_1
146226,535100.484,3386221.777,31.8,41.5,9.7,Sandstone_Conglomerate_1
146295,534387.007,3384634.773,39.2,42.0,2.799999999999997,Sandstone_Conglomerate_1
146355,535204.851,3385523.678,37.6,44.2,6.600000000000001,Sandstone_Conglomerate_1
146357,535229.992,3385580.309,43.0,44.4,1.3999999999999986,Sandstone_Conglomerate_1
148240,535782.381,3389799.783,46.9,48.0,1.1000000000000014,Sandstone_Conglomerate_1
148249,535841.972,3389826.743,48.1,51.6,3.5,Sandstone_Conglomerate_1
170846,527412.103,3379853.838,42.45,50.0,7.549999999999997,Sandstone_Conglomerate_1
174514,527961.666,3386502.819,49.38,53.5,4.119999999999997,Sandstone_Conglomerate_1
178430,534331.277,3386435.913,47.1,51.0,3.8999999999999986,Sandstone_Conglomerate_1
178433,534388.837,3386470.523,47.4,53.4,6.0,Sandstone_Conglomerate_1
180322,534594.518,3386158.819,43.8,51.7,7.900000000000006,Sandstone_Conglomerate_1
187083,517800.006,3392666.084,49.6,53.1,3.5,Sandstone_Conglomerate_1
187098,517786.996,3392569.133,49.2,51.5,2.299999999999997,Sandstone_Conglomerate_1
187112,517871.456,3392470.582,47.4,51.5,4.100000000000001,Sandstone_Conglomerate_1
187698,524983.621,3387979.002,44.0,52.0,8.0,Sandstone_Conglomerate_1
192419,529257.864,3387143.289,49.0,53.0,4.0,Sandstone_Conglomerate_1
199257,526339.006,3388085.366,44.1,46.2,2.1000000000000014,Sandstone_Conglomerate_1
201027,527322.611,3386897.817,49.0,52.6,3.6000000000000014,Sandstone_Conglomerate_1
202975,527882.677,3390411.293,43.7,45.0,1.2999999999999972,Sandstone_Conglomerate_1
203712,526176.344,3391625.786,42.2,51.7,9.5,Sandstone_Conglomerate_1
203718,526205.514,3391612.126,43.3,51.8,8.5,Sandstone_Conglomerate_1
205432,525048.571,3389693.781,44.5,47.5,3.0,Sandstone_Conglomerate_1
205442,525152.652,3389591.489,46.8,48.5,1.7000000000000028,Sandstone_Conglomerate_1
206100,520012.905,3375295.088,44.3,48.5,4.200000000000003,Sandstone_Conglomerate_1
206101,520183.486,3375173.256,41.6,46.4,4.799999999999997,Sandstone_Conglomerate_1
206161,521554.082,3375199.929,43.3,45.1,1.8000000000000043,Sandstone_Conglomerate_1
206162,521354.259,3375079.078,40.3,43.1,2.8000000000000043,Sandstone_Conglomerate_1
206747,520821.382,3378595.13,40.8,44.47,3.6700000000000017,Sandstone_Conglomerate_1
206780,520840.513,3378592.89,40.3,44.6,4.300000000000004,Sandstone_Conglomerate_1
206794,520717.712,3378651.852,41.0,45.8,4.799999999999997,Sandstone_Conglomerate_1
206818,520732.272,3378649.282,36.1,46.9,10.799999999999997,Sandstone_Conglomerate_1
