Borehole ID,X,Y,Top,Bottom,thickness,Layer Name
12118,525615.461,3384922.785,54.6,54.7,0.10000000000000142,Mudstone_Shale
14254,530137.486,3383985.459,55.1,55.91,0.8099999999999952,Mudstone_Shale
17428,525806.913,3384935.714,52.6,55.2,2.6000000000000014,Mudstone_Shale
22158,528099.068,3384877.72,52.1,55.1,3.0,Mudstone_Shale
24341,526908.996,3385012.898,52.6,55.2,2.6000000000000014,Mudstone_Shale
24342,526940.086,3384978.608,53.2,58.0,4.799999999999997,Mudstone_Shale
24394,526299.892,3385537.488,51.44,55.6,4.160000000000004,Mudstone_Shale
24488,525904.319,3384041.313,52.0,54.5,2.5,Mudstone_Shale
24490,525931.61,3384036.123,53.5,55.0,1.5,Mudstone_Shale
24999,526018.336,3384986.243,61.3,63.7,2.4000000000000057,Mudstone_Shale
25015,526017.885,3384819.311,55.0,58.5,3.5,Mudstone_Shale
25018,526084.545,3384793.981,55.9,58.2,2.3000000000000043,Mudstone_Shale
25022,525953.655,3384943.093,58.0,64.6,6.599999999999994,Mudstone_Shale
25025,526012.375,3384917.522,58.0,59.4,1.3999999999999986,Mudstone_Shale
25031,525985.125,3384847.282,56.5,60.8,4.299999999999997,Mudstone_Shale
25781,524950.83,3386179.282,47.3,54.0,6.700000000000003,Mudstone_Shale
27297,524947.846,3385344.093,52.9,54.3,1.3999999999999986,Mudstone_Shale
28149,523551.923,3383971.935,50.4,62.1,11.700000000000003,Mudstone_Shale
30011,525954.404,3384825.812,55.0,56.8,1.7999999999999972,Mudstone_Shale
31327,527212.347,3384592.962,54.6,55.6,1.0,Mudstone_Shale
33731,527441.966,3383875.623,55.05,56.85,1.8000000000000043,Mudstone_Shale
33734,527573.996,3383787.781,53.3,56.2,2.9000000000000057,Mudstone_Shale
33761,527528.106,3383828.392,55.0,56.0,1.0,Mudstone_Shale
36519,526289.276,3382750.067,48.7,54.0,5.299999999999997,Mudstone_Shale
37620,523414.057,3385063.698,51.6,55.5,3.8999999999999986,Mudstone_Shale
38359,526525.062,3383245.621,50.3,59.4,9.100000000000001,Mudstone_Shale
38366,526463.25,3383029.189,47.4,55.9,8.5,Mudstone_Shale
39452,524663.415,3385705.889,50.5,55.0,4.5,Mudstone_Shale
40657,523752.982,3385341.91,52.8,58.8,6.0,Mudstone_Shale
41738,526304.43,3387003.474,48.3,56.0,7.700000000000003,Mudstone_Shale
41747,526242.539,3386983.184,48.0,56.0,8.0,Mudstone_Shale
44582,523806.643,3385240.338,53.2,61.0,7.799999999999997,Mudstone_Shale
45033,527737.411,3386064.736,55.6,63.5,7.899999999999999,Mudstone_Shale
46111,520968.659,3384952.561,54.8,55.9,1.1000000000000014,Mudstone_Shale
46121,521054.64,3384864.829,53.9,55.2,1.3000000000000043,Mudstone_Shale
54133,524469.517,3384761.909,54.2,61.8,7.599999999999994,Mudstone_Shale
56024,525949.639,3385640.401,49.3,59.0,9.700000000000003,Mudstone_Shale
56032,525976.629,3385618.79,50.0,55.3,5.299999999999997,Mudstone_Shale
56047,526017.09,3385670.531,48.0,54.0,6.0,Mudstone_Shale
59345,524998.831,3384285.901,51.5,54.5,3.0,Mudstone_Shale
65673,520107.693,3385578.422,55.1,56.0,0.8999999999999986,Mudstone_Shale
72265,512856.57,3388858.439,54.2,55.0,0.7999999999999972,Mudstone_Shale
73958,513144.034,3388881.558,54.2,55.7,1.5,Mudstone_Shale
73962,512946.161,3388869.959,54.0,56.5,2.5,Mudstone_Shale
